dataset,positive_pairs,negative_pairs,h_pos,h_neg,syntax_margin,degree_min,degree_mean,degree_median,degree_p95,degree_max,random_codes_in_multiple_splits_pct,random_test_both_endpoints_seen_in_train_pct,official_code_overlap_pct,official_hash_overlap_count
CodeNet 4L,961408,1899791,0.6024074199495949,0.3863324701958266,0.011260109854578482,1,9.52051043157089,4,37,109,65.07320400625561,97.49881211917938,,
AtCoder V3,388747,388747,0.7539491336118713,0.2083711974348104,0.03767966895331831,1,36.042648865401105,37,50,163,99.02881116287694,99.99231950844855,0,0
GPTCloneBench V3,2962,2962,0.23315807218050288,0.39632685299890386,0.37051507482059326,1,2,2,3,4,29.00067521944632,56.8935427574171,0,0
SemanticCloneBench V3,4000,4000,0.4287827307415456,0.3941632915950076,0.17705397766344677,2,2,2,2,2,33.8875,65.77266922094508,0,0
CodeXGLUE V3,561521,1170339,0.5330856680059681,0.4387213032851522,0.02819302870887974,109,379.5441595441595,255,911,911,100,100,0,154
